x	y	dx	dy
-1.040	0.000	0.002	0.001
-0.962	0.033	0.002	0.001
-0.850	0.067	0.002	0.001
-0.705	0.100	0.002	0.001
-0.537	0.133	0.002	0.001
-0.351	0.167	0.002	0.001
-0.149	0.200	0.002	0.001
0.052	0.233	0.002	0.001
0.254	0.267	0.002	0.001
0.443	0.300	0.002	0.001
0.609	0.331	0.002	0.001
0.760	0.364	0.002	0.001
0.886	0.397	0.002	0.001
0.982	0.431	0.002	0.001
1.043	0.464	0.002	0.001
1.070	0.497	0.002	0.001
1.053	0.531	0.002	0.001
1.002	0.564	0.002	0.001
0.914	0.600	0.002	0.001
0.800	0.634	0.002	0.001
0.658	0.667	0.002	0.001
0.494	0.700	0.002	0.001
0.314	0.734	0.002	0.001
0.125	0.767	0.002	0.001
-0.068	0.800	0.002	0.001
-0.258	0.834	0.002	0.001
-0.440	0.867	0.002	0.001
-0.607	0.900	0.002	0.001
-0.754	0.934	0.002	0.001
-0.878	0.967	0.002	0.001
-0.881	1.000	0.002	0.001
-1.034	1.034	0.002	0.001
-1.059	1.067	0.002	0.001
-1.053	1.100	0.002	0.001
-1.010	1.134	0.002	0.001
-0.932	1.167	0.002	0.001
-0.823	1.200	0.002	0.001
-0.684	1.234	0.002	0.001
-0.521	1.267	0.002	0.001
-0.337	1.300	0.002	0.001
-0.145	1.334	0.002	0.001
0.055	1.367	0.002	0.001
0.248	1.401	0.002	0.001
0.434	1.434	0.002	0.001
0.604	1.467	0.002	0.001
0.753	1.501	0.002	0.001
0.874	1.534	0.002	0.001
0.964	1.567	0.002	0.001
1.019	1.601	0.002	0.001
1.042	1.634	0.002	0.001
1.022	1.667	0.002	0.001
0.972	1.701	0.002	0.001
0.889	1.734	0.002	0.001
0.773	1.767	0.002	0.001
0.632	1.801	0.002	0.001
0.471	1.835	0.002	0.001
0.293	1.868	0.002	0.001
0.109	1.901	0.002	0.001
-0.080	1.935	0.002	0.001
-0.264	1.968	0.002	0.001
-0.441	2.001	0.002	0.001
-0.604	2.035	0.002	0.001
-0.751	2.070	0.002	0.001
-0.868	2.103	0.002	0.001
-0.955	2.137	0.002	0.001
-1.011	2.170	0.002	0.001
-1.032	2.204	0.002	0.001
-1.021	2.237	0.002	0.001
-0.973	2.270	0.002	0.001
-0.893	2.304	0.002	0.001
-0.782	2.337	0.002	0.001
-0.642	2.370	0.002	0.001
-0.477	2.404	0.002	0.001
-0.297	2.437	0.002	0.001
-0.105	2.470	0.002	0.001
0.091	2.504	0.002	0.001
0.280	2.537	0.002	0.001
0.461	2.570	0.002	0.001
0.624	2.604	0.002	0.001
0.763	2.637	0.002	0.001
0.876	2.670	0.002	0.001
0.956	2.704	0.002	0.001
1.003	2.737	0.002	0.001
1.016	2.770	0.002	0.001
0.994	2.804	0.002	0.001
0.938	2.837	0.002	0.001
0.848	2.870	0.002	0.001
0.730	2.904	0.002	0.001
0.588	2.937	0.002	0.001
0.427	2.970	0.002	0.001
0.253	3.004	0.002	0.001
0.069	3.037	0.002	0.001
-0.116	3.071	0.002	0.001
-0.297	3.104	0.002	0.001
-0.469	3.137	0.002	0.001
-0.623	3.171	0.002	0.001
-0.759	3.204	0.002	0.001
-0.868	3.237	0.002	0.001
-0.946	3.271	0.002	0.001
-0.993	3.304	0.002	0.001
-1.005	3.337	0.002	0.001
-0.987	3.371	0.002	0.001
-0.935	3.404	0.002	0.001
-0.849	3.437	0.002	0.001
-0.731	3.471	0.002	0.001
-0.588	3.504	0.002	0.001
-0.423	3.537	0.002	0.001
-0.241	3.571	0.002	0.001
-0.052	3.604	0.002	0.001
0.139	3.637	0.002	0.001
0.323	3.671	0.002	0.001
0.495	3.704	0.002	0.001
0.648	3.737	0.002	0.001
0.777	3.771	0.002	0.001
0.879	3.804	0.002	0.001
0.951	3.837	0.002	0.001
0.989	3.871	0.002	0.001
0.989	3.904	0.002	0.001
0.958	3.937	0.002	0.001
0.893	3.971	0.002	0.001
0.798	4.004	0.002	0.001
0.676	4.038	0.002	0.001
0.532	4.071	0.002	0.001
0.370	4.104	0.002	0.001
0.196	4.138	0.002	0.001
0.017	4.171	0.002	0.001
-0.165	4.204	0.002	0.001
-0.341	4.238	0.002	0.001
-0.505	4.271	0.002	0.001
-0.652	4.304	0.002	0.001
-0.776	4.338	0.002	0.001
-0.875	4.371	0.002	0.001
-0.944	4.404	0.002	0.001
-0.978	4.438	0.002	0.001
-0.980	4.471	0.002	0.001
-0.953	4.504	0.002	0.001
-0.891	4.538	0.002	0.001
-0.795	4.571	0.002	0.001
-0.672	4.604	0.002	0.001
-0.524	4.638	0.002	0.001
-0.357	4.671	0.002	0.001
-0.177	4.704	0.002	0.001
0.010	4.738	0.002	0.001
0.196	4.771	0.002	0.001
0.374	4.804	0.002	0.001
0.539	4.838	0.002	0.001
0.679	4.871	0.002	0.001
0.797	4.905	0.002	0.001
0.887	4.938	0.002	0.001
0.945	4.971	0.002	0.001
0.969	5.005	0.002	0.001
0.959	5.038	0.002	0.001
0.919	5.069	0.002	0.001
0.846	5.102	0.002	0.001
0.744	5.136	0.002	0.001
0.615	5.169	0.002	0.001
0.467	5.202	0.002	0.001
0.302	5.236	0.002	0.001
0.129	5.269	0.002	0.001
-0.048	5.302	0.002	0.001
-0.224	5.336	0.002	0.001
-0.392	5.369	0.002	0.001
-0.545	5.402	0.002	0.001
-0.681	5.436	0.002	0.001
-0.793	5.469	0.002	0.001
-0.879	5.503	0.002	0.001
-0.934	5.536	0.002	0.001
-0.956	5.569	0.002	0.001
-0.949	5.603	0.002	0.001
-0.909	5.636	0.002	0.001
-0.835	5.669	0.002	0.001
-0.731	5.703	0.002	0.001
-0.599	5.736	0.002	0.001
-0.446	5.769	0.002	0.001
-0.275	5.803	0.002	0.001
-0.095	5.836	0.002	0.001
0.089	5.869	0.002	0.001
0.270	5.903	0.002	0.001
0.435	5.936	0.002	0.001
0.587	5.969	0.002	0.001
